DECJ,    06:10:14.56
RAJ,    08:37:44
DECJ,    -24:47:48
RAJ,    08:37:21.1818
DECJ,    -41:35:14.37
RAJ,    08:38:18.801
DECJ,    -26:21:29.55
RAJ,    08:38:30.8
DECJ,    -39:47:22
RAJ,    08:40:33.88
DECJ,    -53:32:35.5
RAJ,    08:42:05.37
DECJ,    -48:51:20.8
RAJ,    08:43:33.82
DECJ,    +07:18:47.8
RAJ,    08:43:09.884
DECJ,    -50:22:43.10
RAJ,    08:47:57.33
DECJ,    -43:16:56.8
RAJ,    08:48:53
DECJ,    +16:43
RAJ,    08:49:42.59
DECJ,    -63:22:35.0
RAJ,    08:55:36.18
DECJ,    -46:44:13.4
RAJ,    08:55:19.57
DECJ,    -46:58:22.6
RAJ,    08:56:59.31
DECJ,    -61:37:53.3
RAJ,    08:57:55.159
DECJ,    -44:24:10.32
RAJ,    09:00:43.95364
DECJ,    -31:44:30.903
RAJ,    09:01:40.12
DECJ,    -46:24:48.5
RAJ,    09:02:32.4
DECJ,    -63:25:12.0
RAJ,    09:04:59.2
DECJ,    -42:46:14
RAJ,    09:04:10.8
DECJ,    -74:59:42.8
RAJ,    09:05:23.90
DECJ,    -45:36:53.0
RAJ,    09:05:51.922
DECJ,    -51:27:48.71
RAJ,    09:05:15.245
DECJ,    -60:19:22.06
RAJ,    09:07:15.900
DECJ,    -51:57:59.25
RAJ,    09:08:38.1822
DECJ,    -17:39:37.67
RAJ,    09:08:35.53
DECJ,    -49:13:06.5
RAJ,    09:09:36.0
DECJ,    -72:12:08.4
RAJ,    09:10
DECJ,    +77:28
RAJ,    09:12:42.70
DECJ,    -38:51:03
RAJ,    09:19:27.87
DECJ,    -60:40:50.4
RAJ,    09:22:14.022
DECJ,    06:38:23.30
RAJ,    09:22:14.961
DECJ,    -49:49:12.08
RAJ,    09:22
DECJ,-52
RAJ,    09:23:58
DECJ,    -31:57
RAJ,    09:24:08.69
DECJ,    -53:02:44.2
RAJ,    09:24:31.0
DECJ,    -58:14:06.4
RAJ,    09:27:37
DECJ,    +23:47
RAJ,    09:28:44
DECJ,    +06:14
RAJ,    09:31:19.1180
DECJ,    -19:02:55.015
RAJ,    09:32:39.15
DECJ,    -32:17:14.2
RAJ,    09:32:22.86
DECJ,    -53:27:11.0
RAJ,    09:34:58.20
DECJ,    -41:54:19.5
RAJ,    09:34:28.30
DECJ,    -52:49:27.2
RAJ,    09:40:58.22
DECJ,    -54:28:40.6
RAJ,    09:41:38
DECJ,    -39:41
RAJ,    09:41:41.147
DECJ,    -52:44:04.48
RAJ,    09:42:15.83
DECJ,    -55:52:52.3
RAJ,    09:42:54.462
DECJ,    -56:57:43.44
RAJ,    09:43:30.10
DECJ,    16:31:37
RAJ,    09:43:25
DECJ,    +22:56
RAJ,    09:43
DECJ,    +41:09
RAJ,    09:44:28.9559
DECJ,    -13:54:41.63
RAJ,    09:45:38.254
DECJ,    -48:33:14.50
RAJ,    09:46:07.6
DECJ,    09:51:55
RAJ,    09:47:22
DECJ,    +27:42
RAJ,    09:49:20.567
